,Date,col_num,food_col_kg,age
2667,2025-10-16,10,40.8,81
2668,2025-10-16,13,12.0,81
2669,2025-10-16,13,12.0,81
2670,2025-10-16,21,16.4,81
2671,2025-10-16,20,41.2,81
2672,2025-10-16,16,30.0,81
2673,2025-10-16,18,42.4,81
2674,2025-10-16,17,43.6,81
2675,2025-10-16,28,36.4,81
2676,2025-10-16,19,38.8,81
2677,2025-10-16,28,36.4,81
2678,2025-10-16,11,40.8,81
2679,2025-10-16,8,43.2,81
2680,2025-10-16,4,41.2,81
2681,2025-10-16,9,43.6,81
2682,2025-10-16,6,41.2,81
2683,2025-10-16,5,42.8,81
2684,2025-10-16,22,43.6,81
2685,2025-10-16,3,36.8,81
2686,2025-10-16,2,36.8,81
2687,2025-10-16,7,40.8,81
2688,2025-10-17,26,25.2,82
2689,2025-10-17,28,32.8,82
2690,2025-10-17,7,38.8,82
2691,2025-10-17,8,41.2,82
2692,2025-10-17,17,40.8,82
2693,2025-10-17,10,41.2,82
2694,2025-10-17,25,41.2,82
2695,2025-10-17,12,15.2,82
2696,2025-10-17,13,11.2,82
2697,2025-10-17,18,40.0,82
2698,2025-10-17,20,38.0,82
2699,2025-10-17,3,36.0,82
2700,2025-10-17,21,18.4,82
2701,2025-10-17,27,6.8,82
2702,2025-10-17,24,42.4,82
2703,2025-10-17,15,46.0,82
2704,2025-10-17,6,42.8,82
2705,2025-10-17,19,40.4,82
2706,2025-10-17,11,38.8,82
2707,2025-10-17,22,40.0,82
2708,2025-10-17,2,38.8,82
2709,2025-10-17,23,41.6,82
2710,2025-10-17,9,42.4,82
2711,2025-10-17,14,44.4,82
2712,2025-10-17,4,40.8,82
2713,2025-10-17,16,34.4,82
2714,2025-10-17,1,40.0,82
2715,2025-10-17,5,42.4,82
2716,2025-10-17,6,42.8,82
2717,2025-10-17,15,46.0,82
2718,2025-10-17,13,11.2,82
2719,2025-10-17,19,40.4,82
2720,2025-10-17,27,6.8,82
2721,2025-10-17,4,40.8,82
2722,2025-10-17,25,41.2,82
2723,2025-10-17,9,42.4,82
2724,2025-10-17,28,32.8,82
2725,2025-10-17,22,40.0,82
2726,2025-10-17,14,44.4,82
2727,2025-10-17,1,40.0,82
2728,2025-10-17,5,42.4,82
2729,2025-10-17,18,40.0,82
2730,2025-10-17,3,36.0,82
2731,2025-10-17,16,34.4,82
2732,2025-10-17,12,15.2,82
2733,2025-10-17,10,41.2,82
2734,2025-10-17,21,18.4,82
2735,2025-10-17,11,38.8,82
2736,2025-10-17,8,41.2,82
2737,2025-10-17,26,25.2,82
2738,2025-10-17,7,38.8,82
2739,2025-10-17,17,40.8,82
2740,2025-10-17,2,38.8,82
2741,2025-10-17,24,42.4,82
